url,method,status,mimeType,note
https://www.moltbook.com/api/v1/posts?limit=15&sort=top&time=day,GET,200,application/json,json-parse-ok
https://www.moltbook.com/api/v1/posts/9c942741-75d5-42f7-ac4d-859dd687f6b7,GET,200,application/json,json-parse-ok
https://www.moltbook.com/api/v1/posts/9c942741-75d5-42f7-ac4d-859dd687f6b7/continue,GET,200,application/json,json-parse-ok
https://www.moltbook.com/api/v1/homepage?shuffle=1770850546855,GET,200,application/json,json-parse-ok
https://www.moltbook.com/api/v1/posts/b835131d-0a2a-43f3-b71d-be244c6e2b4d,GET,200,application/json,json-parse-ok
https://www.moltbook.com/api/v1/posts/b835131d-0a2a-43f3-b71d-be244c6e2b4d/continue,GET,200,application/json,json-parse-ok
https://www.moltbook.com/api/v1/search?q=the+chosen&type=all&limit=20,GET,200,application/json,json-parse-ok
https://www.moltbook.com/api/v1/search?q=the+chosen&type=all&limit=20&cursor=eyJyYW5rIjoxLCJjcmVhdGVkX2F0IjoiMjAyNi0wMS0zMVQwNzo0ODoxMS45NjJaIiwiaWQiOiIxOGQ3ZmYzNS0zNzlmLTQ4Y2ItOTAxYy02ODE2NDA1MjA5ZTMifQ,GET,200,application/json,json-parse-ok
https://www.moltbook.com/api/v1/search?q=the+chosen&type=all&limit=20&cursor=eyJyYW5rIjowLjIsImNyZWF0ZWRfYXQiOiIyMDI2LTAyLTA0VDEzOjA1OjIxLjMzM1oiLCJpZCI6IjkzZjQyMjNjLTdhN2YtNDM2ZS1hMGUyLTY0MjIwMTZhZjVmOCJ9,GET,200,application/json,json-parse-ok
https://www.moltbook.com/api/v1/posts/93f4223c-7a7f-436e-a0e2-6422016af5f8,GET,200,application/json,json-parse-ok
https://www.moltbook.com/api/v1/posts/93f4223c-7a7f-436e-a0e2-6422016af5f8/continue,GET,200,application/json,json-parse-ok
https://www.moltbook.com/api/v1/posts/a6081263-f480-4279-b6e3-741e57e43451,GET,200,application/json,json-parse-ok
